architechure = resnet34, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1072
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tr, acc = 0.0955
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1001
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1017
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1011
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1037
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tr, acc = 0.107
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1041
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1047
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tr, acc = 0.1
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1067
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tr, acc = 0.112
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tr, acc = 0.1028
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tr, acc = 0.1041
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1022
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1009
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1177
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tr, acc = 0.1015
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1055
architechure = vgg8, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8926
architechure = vgg8, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8966
architechure = vgg8, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8987
architechure = vgg8, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8981
architechure = vgg8, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8978
architechure = vgg8, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8877
architechure = vgg8, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8928
architechure = vgg8, prune_ratio = 20, bit = 6, direction = bl, acc = 0.896
architechure = vgg8, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8936
architechure = vgg8, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8939
architechure = vgg8, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8824
architechure = vgg8, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8897
architechure = vgg8, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8916
architechure = vgg8, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8906
architechure = vgg8, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8906
architechure = vgg8, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8765
architechure = vgg8, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8905
architechure = vgg8, prune_ratio = 40, bit = 6, direction = bl, acc = 0.891
architechure = vgg8, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8914
architechure = vgg8, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8917
architechure = vgg8, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8707
architechure = vgg8, prune_ratio = 50, bit = 5, direction = bl, acc = 0.8877
architechure = vgg8, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8829
architechure = vgg8, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8876
architechure = vgg8, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8893
architechure = vgg8, prune_ratio = 10, bit = 4, direction = br, acc = 0.83
architechure = vgg8, prune_ratio = 10, bit = 5, direction = br, acc = 0.848
architechure = vgg8, prune_ratio = 10, bit = 6, direction = br, acc = 0.8511
architechure = vgg8, prune_ratio = 10, bit = 7, direction = br, acc = 0.8544
architechure = vgg8, prune_ratio = 10, bit = 8, direction = br, acc = 0.8543
architechure = vgg8, prune_ratio = 20, bit = 4, direction = br, acc = 0.8254
architechure = vgg8, prune_ratio = 20, bit = 5, direction = br, acc = 0.8387
architechure = vgg8, prune_ratio = 20, bit = 6, direction = br, acc = 0.8525
architechure = vgg8, prune_ratio = 20, bit = 7, direction = br, acc = 0.8459
architechure = vgg8, prune_ratio = 20, bit = 8, direction = br, acc = 0.8478
architechure = vgg8, prune_ratio = 30, bit = 4, direction = br, acc = 0.8186
architechure = vgg8, prune_ratio = 30, bit = 5, direction = br, acc = 0.8377
architechure = vgg8, prune_ratio = 30, bit = 6, direction = br, acc = 0.8419
architechure = vgg8, prune_ratio = 30, bit = 7, direction = br, acc = 0.8425
architechure = vgg8, prune_ratio = 30, bit = 8, direction = br, acc = 0.8449
architechure = vgg8, prune_ratio = 40, bit = 4, direction = br, acc = 0.8003
architechure = vgg8, prune_ratio = 40, bit = 5, direction = br, acc = 0.8404
architechure = vgg8, prune_ratio = 40, bit = 6, direction = br, acc = 0.8456
architechure = vgg8, prune_ratio = 40, bit = 7, direction = br, acc = 0.8454
architechure = vgg8, prune_ratio = 40, bit = 8, direction = br, acc = 0.8467
architechure = vgg8, prune_ratio = 50, bit = 4, direction = br, acc = 0.8029
architechure = vgg8, prune_ratio = 50, bit = 5, direction = br, acc = 0.8375
architechure = vgg8, prune_ratio = 50, bit = 6, direction = br, acc = 0.8331
architechure = vgg8, prune_ratio = 50, bit = 7, direction = br, acc = 0.8464
architechure = vgg8, prune_ratio = 50, bit = 8, direction = br, acc = 0.8461
architechure = vgg8, prune_ratio = 10, bit = 4, direction = tl, acc = 0.3602
architechure = vgg8, prune_ratio = 10, bit = 5, direction = tl, acc = 0.5037
architechure = vgg8, prune_ratio = 10, bit = 6, direction = tl, acc = 0.5165
architechure = vgg8, prune_ratio = 10, bit = 7, direction = tl, acc = 0.5695
