architechure = resnet34, prune_ratio = 40, bit = 8, direction = tr, acc = 0.1267
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tr, acc = 0.1226
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tr, acc = 0.1213
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tr, acc = 0.1343
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tr, acc = 0.1257
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tr, acc = 0.1298
architechure = vgg8, prune_ratio = 10, bit = 4, direction = bl, acc = 0.8346
architechure = vgg8, prune_ratio = 10, bit = 5, direction = bl, acc = 0.8517
architechure = vgg8, prune_ratio = 10, bit = 6, direction = bl, acc = 0.8553
architechure = vgg8, prune_ratio = 10, bit = 7, direction = bl, acc = 0.8591
architechure = vgg8, prune_ratio = 10, bit = 8, direction = bl, acc = 0.8586
architechure = vgg8, prune_ratio = 20, bit = 4, direction = bl, acc = 0.8329
architechure = vgg8, prune_ratio = 20, bit = 5, direction = bl, acc = 0.8447
architechure = vgg8, prune_ratio = 20, bit = 6, direction = bl, acc = 0.857
architechure = vgg8, prune_ratio = 20, bit = 7, direction = bl, acc = 0.8517
architechure = vgg8, prune_ratio = 20, bit = 8, direction = bl, acc = 0.8516
architechure = vgg8, prune_ratio = 30, bit = 4, direction = bl, acc = 0.8258
architechure = vgg8, prune_ratio = 30, bit = 5, direction = bl, acc = 0.8439
architechure = vgg8, prune_ratio = 30, bit = 6, direction = bl, acc = 0.8464
architechure = vgg8, prune_ratio = 30, bit = 7, direction = bl, acc = 0.8458
architechure = vgg8, prune_ratio = 30, bit = 8, direction = bl, acc = 0.8478
architechure = vgg8, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8104
architechure = vgg8, prune_ratio = 40, bit = 5, direction = bl, acc = 0.8436
architechure = vgg8, prune_ratio = 40, bit = 6, direction = bl, acc = 0.8516
architechure = vgg8, prune_ratio = 40, bit = 7, direction = bl, acc = 0.8491
architechure = vgg8, prune_ratio = 40, bit = 8, direction = bl, acc = 0.8511
architechure = vgg8, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8092
architechure = vgg8, prune_ratio = 50, bit = 5, direction = bl, acc = 0.8429
architechure = vgg8, prune_ratio = 50, bit = 6, direction = bl, acc = 0.8363
architechure = vgg8, prune_ratio = 50, bit = 7, direction = bl, acc = 0.8502
architechure = vgg8, prune_ratio = 50, bit = 8, direction = bl, acc = 0.8495
architechure = vgg8, prune_ratio = 10, bit = 4, direction = br, acc = 0.8255
architechure = vgg8, prune_ratio = 10, bit = 5, direction = br, acc = 0.8442
architechure = vgg8, prune_ratio = 10, bit = 6, direction = br, acc = 0.8478
architechure = vgg8, prune_ratio = 10, bit = 7, direction = br, acc = 0.8514
architechure = vgg8, prune_ratio = 10, bit = 8, direction = br, acc = 0.8524
architechure = vgg8, prune_ratio = 20, bit = 4, direction = br, acc = 0.8233
architechure = vgg8, prune_ratio = 20, bit = 5, direction = br, acc = 0.8361
architechure = vgg8, prune_ratio = 20, bit = 6, direction = br, acc = 0.8483
architechure = vgg8, prune_ratio = 20, bit = 7, direction = br, acc = 0.8444
architechure = vgg8, prune_ratio = 20, bit = 8, direction = br, acc = 0.8456
architechure = vgg8, prune_ratio = 30, bit = 4, direction = br, acc = 0.8153
architechure = vgg8, prune_ratio = 30, bit = 5, direction = br, acc = 0.8353
architechure = vgg8, prune_ratio = 30, bit = 6, direction = br, acc = 0.8399
architechure = vgg8, prune_ratio = 30, bit = 7, direction = br, acc = 0.8395
architechure = vgg8, prune_ratio = 30, bit = 8, direction = br, acc = 0.841
architechure = vgg8, prune_ratio = 40, bit = 4, direction = br, acc = 0.7967
architechure = vgg8, prune_ratio = 40, bit = 5, direction = br, acc = 0.8384
architechure = vgg8, prune_ratio = 40, bit = 6, direction = br, acc = 0.8435
